randomtestadventurer.c:
Testing Adventurer...
Seed: 1635127377, test failed, incorrect number of cards in hand.
Seed: 1008020478, test failed, incorrect number of cards in hand.
Seed: 1792300468, test failed, incorrect number of cards in hand.
Seed: 769073388, test failed, incorrect number of cards in hand.
Seed: 951478024, test failed, incorrect number of cards in hand.
Seed: 1303871933, test failed, incorrect number of cards in hand.
Seed: 1438778425, test failed, incorrect number of cards in hand.
Seed: 579636551, test failed, incorrect number of cards in hand.
Seed: 1427925749, test passed.
Seed: 858772709, test failed, incorrect number of cards in hand.
Seed: 1443205101, test failed, incorrect number of cards in hand.
Seed: 1088443108, test failed, incorrect number of cards in hand.
Seed: 1863088912, test failed, incorrect number of cards in hand.
Seed: 310556059, test failed, incorrect number of cards in hand.
Seed: 1855452687, test failed, incorrect number of cards in hand.
Seed: 699333683, test failed, incorrect number of cards in hand.
Seed: 1213156710, test failed, incorrect number of cards in hand.
Seed: 1443531315, test failed, incorrect number of cards in hand.
Seed: 2082282472, test failed, incorrect number of cards in hand.
Seed: 392253731, test failed, incorrect number of cards in hand.
Seed: 1354475281, test failed, incorrect number of cards in hand.
Seed: 2119494948, test failed, incorrect number of cards in hand.
Seed: 1558523916, test failed, incorrect number of cards in hand.
Seed: 598586370, test failed, incorrect number of cards in hand.
Seed: 2104386655, test failed, incorrect number of cards in hand.
Seed: 1510090206, test failed, incorrect number of cards in hand.
Seed: 1449647408, test failed, incorrect number of cards in hand.
Seed: 1726654726, test failed, incorrect number of cards in hand.
Seed: 1747692057, test failed, incorrect number of cards in hand.
Seed: 79634729, test failed, incorrect number of cards in hand.
Seed: 1915162005, test failed, incorrect number of cards in hand.
Seed: 1899758324, test failed, incorrect number of cards in hand.
Seed: 1414594125, test failed, incorrect number of cards in hand.
Seed: 1114540721, test failed, incorrect number of cards in hand.
Seed: 1375204369, test failed, incorrect number of cards in hand.
Seed: 1468468926, test failed, incorrect number of cards in hand.
Seed: 1363618756, test failed, incorrect number of cards in hand.
Seed: 536524096, test failed, incorrect number of cards in hand.
Seed: 1115993665, test failed, incorrect number of cards in hand.
Seed: 1191557563, test failed, incorrect number of cards in hand.
Seed: 1368815620, test failed, incorrect number of cards in hand.
Seed: 29313332, test failed, incorrect number of cards in hand.
Seed: 178884967, test failed, incorrect number of cards in hand.
Seed: 1593228849, test failed, incorrect number of cards in hand.
Seed: 1941500816, test failed, incorrect number of cards in hand.
Seed: 452212100, test failed, incorrect number of cards in hand.
Seed: 1370558407, test failed, incorrect number of cards in hand.
Seed: 2145793044, test failed, incorrect number of cards in hand.
Seed: 1650133779, test failed, incorrect number of cards in hand.
Seed: 89391040, test failed, incorrect number of cards in hand.
Seed: 1173802171, test failed, incorrect number of cards in hand.
Seed: 478451153, test failed, incorrect number of cards in hand.
Seed: 1970627581, test failed, incorrect number of cards in hand.
Seed: 1587664773, test failed, incorrect number of cards in hand.
Seed: 271347734, test failed, incorrect number of cards in hand.
Seed: 1080966280, test failed, incorrect number of cards in hand.
Seed: 226621627, test failed, incorrect number of cards in hand.
Seed: 1614879691, test failed, incorrect number of cards in hand.
Seed: 1854575575, test failed, incorrect number of cards in hand.
Seed: 2123702351, test failed, incorrect number of cards in hand.
Seed: 2072173171, test failed, incorrect number of cards in hand.
Seed: 1620417423, test failed, incorrect number of cards in hand.
Seed: 1989336888, test failed, incorrect number of cards in hand.
Seed: 2047760535, test failed, incorrect number of cards in hand.
Seed: 650937951, test failed, incorrect number of cards in hand.
Seed: 626023961, test failed, incorrect number of cards in hand.
Seed: 1356426081, test failed, incorrect number of cards in hand.
Seed: 257530157, test failed, incorrect number of cards in hand.
Seed: 977403965, test failed, incorrect number of cards in hand.
Seed: 304035531, test failed, incorrect number of cards in hand.
Seed: 88941330, test failed, incorrect number of cards in hand.
Seed: 39153402, test failed, incorrect number of cards in hand.
Seed: 301109168, test failed, incorrect number of cards in hand.
Seed: 1850724774, test failed, incorrect number of cards in hand.
Seed: 1535419516, test failed, incorrect number of cards in hand.
Seed: 1182957765, test failed, incorrect number of cards in hand.
Seed: 1249497708, test failed, incorrect number of cards in hand.
Seed: 740940615, test failed, incorrect number of cards in hand.
Seed: 91658748, test failed, incorrect number of cards in hand.
Seed: 1224345260, test failed, incorrect number of cards in hand.
Seed: 403325492, test failed, incorrect number of cards in hand.
Seed: 294061938, test failed, incorrect number of cards in hand.
Seed: 1281646522, test failed, incorrect number of cards in hand.
Seed: 1252700485, test failed, incorrect number of cards in hand.
Seed: 211122111, test failed, incorrect number of cards in hand.
Seed: 775274733, test failed, incorrect number of cards in hand.
Seed: 36070071, test failed, incorrect number of cards in hand.
Seed: 1840508109, test failed, incorrect number of cards in hand.
Seed: 1315339751, test failed, incorrect number of cards in hand.
Seed: 1362440070, test failed, incorrect number of cards in hand.
Seed: 1615366565, test failed, incorrect number of cards in hand.
Seed: 994144136, test failed, incorrect number of cards in hand.
Seed: 564133185, test failed, incorrect number of cards in hand.
Seed: 85513484, test failed, incorrect number of cards in hand.
Seed: 1870995697, test failed, incorrect number of cards in hand.
Seed: 1294075058, test failed, incorrect number of cards in hand.
Seed: 991035832, test failed, incorrect number of cards in hand.
Seed: 1189935991, test failed, incorrect number of cards in hand.
Seed: 764130630, test failed, incorrect number of cards in hand.
Seed: 1380746969, test failed, incorrect number of cards in hand.
Seed: 1007125622, test failed, incorrect number of cards in hand.
Seed: 507565515, test failed, incorrect number of cards in hand.
Seed: 760673130, test failed, incorrect number of cards in hand.
Seed: 2085119757, test failed, incorrect number of cards in hand.
Seed: 1047102862, test failed, incorrect number of cards in hand.
Seed: 1222102484, test failed, incorrect number of cards in hand.
Seed: 1073505275, test failed, incorrect number of cards in hand.
Seed: 2140332676, test failed, incorrect number of cards in hand.
Seed: 1720110256, test failed, incorrect number of cards in hand.
Seed: 285931363, test failed, incorrect number of cards in hand.
Seed: 1565278893, test failed, incorrect number of cards in hand.
Seed: 61732286, test failed, incorrect number of cards in hand.
Seed: 1222082089, test failed, incorrect number of cards in hand.
Seed: 213874653, test failed, incorrect number of cards in hand.
Seed: 2044960988, test failed, incorrect number of cards in hand.
Seed: 868942443, test failed, incorrect number of cards in hand.
Seed: 787822296, test failed, incorrect number of cards in hand.
Seed: 1685086865, test failed, incorrect number of cards in hand.
Seed: 2068183618, test failed, incorrect number of cards in hand.
Seed: 1411088704, test failed, incorrect number of cards in hand.
Seed: 1098360359, test failed, incorrect number of cards in hand.
Seed: 1501645347, test failed, incorrect number of cards in hand.
Seed: 816315192, test failed, incorrect number of cards in hand.
Seed: 1105921895, test failed, incorrect number of cards in hand.
Seed: 848736175, test failed, incorrect number of cards in hand.
Seed: 1336031749, test failed, incorrect number of cards in hand.
Seed: 623355386, test failed, incorrect number of cards in hand.
Seed: 1740282641, test failed, incorrect number of cards in hand.
Seed: 1259905382, test failed, incorrect number of cards in hand.
Seed: 55136661, test failed, incorrect number of cards in hand.
Seed: 2016525507, test failed, incorrect number of cards in hand.
Seed: 1540831399, test failed, incorrect number of cards in hand.
Seed: 260284585, test failed, incorrect number of cards in hand.
Seed: 893771326, test failed, incorrect number of cards in hand.
Seed: 518424667, test failed, incorrect number of cards in hand.
Seed: 1912067688, test failed, incorrect number of cards in hand.
Seed: 1594320047, test failed, incorrect number of cards in hand.
Seed: 1197846340, test passed.
Seed: 1473061117, test failed, incorrect number of cards in hand.
Seed: 1890713076, test failed, incorrect number of cards in hand.
Seed: 654523598, test failed, incorrect number of cards in hand.
Seed: 1512248527, test failed, incorrect number of cards in hand.
Seed: 1237321008, test failed, incorrect number of cards in hand.
Seed: 1988949656, test failed, incorrect number of cards in hand.
Seed: 1656058897, test failed, incorrect number of cards in hand.
Seed: 519017707, test failed, incorrect number of cards in hand.
Seed: 401666706, test failed, incorrect number of cards in hand.
Seed: 1591601182, test failed, incorrect number of cards in hand.
Seed: 2131395634, test failed, incorrect number of cards in hand.
Seed: 114234826, test failed, incorrect number of cards in hand.
Seed: 855875771, test failed, incorrect number of cards in hand.
Seed: 551358541, test failed, incorrect number of cards in hand.
Seed: 1180877763, test failed, incorrect number of cards in hand.
Seed: 902252085, test failed, incorrect number of cards in hand.
Seed: 1421550786, test failed, incorrect number of cards in hand.
Seed: 1827982808, test failed, incorrect number of cards in hand.
Seed: 164881510, test failed, incorrect number of cards in hand.
Seed: 380028618, test failed, incorrect number of cards in hand.
Seed: 49219880, test failed, incorrect number of cards in hand.
Seed: 144240140, test failed, incorrect number of cards in hand.
Seed: 1466482715, test failed, incorrect number of cards in hand.
Seed: 1436830381, test failed, incorrect number of cards in hand.
Seed: 1512405491, test failed, incorrect number of cards in hand.
Seed: 1286041323, test failed, incorrect number of cards in hand.
Seed: 2031845145, test failed, incorrect number of cards in hand.
Seed: 1872134495, test failed, incorrect number of cards in hand.
Seed: 1695810517, test failed, incorrect number of cards in hand.
Seed: 1262433986, test failed, incorrect number of cards in hand.
Seed: 1689120340, test failed, incorrect number of cards in hand.
Seed: 899405696, test failed, incorrect number of cards in hand.
Seed: 1683384631, test failed, incorrect number of cards in hand.
Seed: 1317161874, test failed, incorrect number of cards in hand.
Seed: 879037186, test failed, incorrect number of cards in hand.
Seed: 1396103411, test failed, incorrect number of cards in hand.
Seed: 523230073, test failed, incorrect number of cards in hand.
Seed: 748480796, test failed, incorrect number of cards in hand.
Seed: 1651907244, test failed, incorrect number of cards in hand.
Seed: 1943620746, test failed, incorrect number of cards in hand.
Seed: 1892943336, test failed, incorrect number of cards in hand.
Seed: 767109907, test failed, incorrect number of cards in hand.
Seed: 957440530, test failed, incorrect number of cards in hand.
Seed: 1780925174, test failed, incorrect number of cards in hand.
Seed: 1556479104, test failed, incorrect number of cards in hand.
Seed: 1119103385, test failed, incorrect number of cards in hand.
Seed: 624617297, test failed, incorrect number of cards in hand.
Seed: 1405167597, test failed, incorrect number of cards in hand.
Seed: 1909801028, test failed, incorrect number of cards in hand.
Seed: 1848010477, test failed, incorrect number of cards in hand.
Seed: 1131997766, test failed, incorrect number of cards in hand.
Seed: 1065991413, test failed, incorrect number of cards in hand.
Seed: 106774104, test failed, incorrect number of cards in hand.
Seed: 1570353793, test failed, incorrect number of cards in hand.
Seed: 404968574, test failed, incorrect number of cards in hand.
Seed: 1055816478, test failed, incorrect number of cards in hand.
Seed: 1138010353, test failed, incorrect number of cards in hand.
Seed: 894556354, test failed, incorrect number of cards in hand.
Seed: 2005454374, test failed, incorrect number of cards in hand.
Seed: 1207925509, test failed, incorrect number of cards in hand.
Seed: 191134631, test failed, incorrect number of cards in hand.
Seed: 1427759954, test failed, incorrect number of cards in hand.
Seed: 1466358825, test failed, incorrect number of cards in hand.
Seed: 465598546, test failed, incorrect number of cards in hand.
Seed: 2045998385, test failed, incorrect number of cards in hand.
Seed: 1649301533, test failed, incorrect number of cards in hand.
Seed: 1545504272, test failed, incorrect number of cards in hand.
Seed: 901286877, test failed, incorrect number of cards in hand.
Seed: 2144801776, test failed, incorrect number of cards in hand.
Seed: 2135627242, test failed, incorrect number of cards in hand.
Seed: 1749428842, test failed, incorrect number of cards in hand.
Seed: 1738836107, test failed, incorrect number of cards in hand.
Seed: 968127601, test failed, incorrect number of cards in hand.
Seed: 43684305, test failed, incorrect number of cards in hand.
Seed: 2048522240, test failed, incorrect number of cards in hand.
Seed: 845403913, test failed, incorrect number of cards in hand.
Seed: 130552877, test failed, incorrect number of cards in hand.
Seed: 141071652, test failed, incorrect number of cards in hand.
Seed: 183266254, test failed, incorrect number of cards in hand.
Seed: 2048546816, test failed, incorrect number of cards in hand.
Seed: 1569120178, test failed, incorrect number of cards in hand.
Seed: 1964647993, test failed, incorrect number of cards in hand.
Seed: 1186269587, test failed, incorrect number of cards in hand.
Seed: 1505245726, test failed, incorrect number of cards in hand.
Seed: 415297010, test failed, incorrect number of cards in hand.
Seed: 1432856367, test failed, incorrect number of cards in hand.
Seed: 1534332269, test failed, incorrect number of cards in hand.
Seed: 194327932, test failed, incorrect number of cards in hand.
Seed: 378545834, test failed, incorrect number of cards in hand.
Seed: 777390127, test failed, incorrect number of cards in hand.
Seed: 1982175746, test failed, incorrect number of cards in hand.
Seed: 1953052637, test failed, incorrect number of cards in hand.
Seed: 227922031, test failed, incorrect number of cards in hand.
Seed: 1876786515, test failed, incorrect number of cards in hand.
Seed: 1094756822, test failed, incorrect number of cards in hand.
Seed: 76498632, test failed, incorrect number of cards in hand.
Seed: 195193551, test failed, incorrect number of cards in hand.
Seed: 1046047060, test failed, incorrect number of cards in hand.
Seed: 259771392, test failed, incorrect number of cards in hand.
Seed: 2112003447, test failed, incorrect number of cards in hand.
Seed: 310266841, test failed, incorrect number of cards in hand.
Seed: 1686500795, test failed, incorrect number of cards in hand.
Seed: 1874452545, test failed, incorrect number of cards in hand.
Seed: 316978226, test failed, incorrect number of cards in hand.
Seed: 1670458798, test failed, incorrect number of cards in hand.
Seed: 841489943, test failed, incorrect number of cards in hand.
Seed: 1704994114, test failed, incorrect number of cards in hand.
Seed: 670491863, test failed, incorrect number of cards in hand.
Seed: 74342074, test failed, incorrect number of cards in hand.
Seed: 702020484, test failed, incorrect number of cards in hand.
Seed: 317843267, test failed, incorrect number of cards in hand.
Seed: 1031779296, test failed, incorrect number of cards in hand.
Seed: 1624368917, test failed, incorrect number of cards in hand.
Seed: 597922663, test failed, incorrect number of cards in hand.
Seed: 238950082, test failed, incorrect number of cards in hand.
Seed: 1488445861, test failed, incorrect number of cards in hand.
Seed: 1403200897, test failed, incorrect number of cards in hand.
Seed: 1937724116, test failed, incorrect number of cards in hand.
Seed: 1575574752, test failed, incorrect number of cards in hand.
Seed: 1364004183, test failed, incorrect number of cards in hand.
Seed: 1176663799, test failed, incorrect number of cards in hand.
Seed: 1700446330, test failed, incorrect number of cards in hand.
Seed: 348641697, test failed, incorrect number of cards in hand.
Seed: 769460765, test failed, incorrect number of cards in hand.
Seed: 1040896056, test failed, incorrect number of cards in hand.
Seed: 2008363085, test failed, incorrect number of cards in hand.
Seed: 1165450140, test failed, incorrect number of cards in hand.
Seed: 1916353289, test failed, incorrect number of cards in hand.
Seed: 1599106681, test failed, incorrect number of cards in hand.
Seed: 100137699, test failed, incorrect number of cards in hand.
Seed: 2074855617, test failed, incorrect number of cards in hand.
Seed: 1701982108, test failed, incorrect number of cards in hand.
Seed: 1633177459, test failed, incorrect number of cards in hand.
Seed: 1861904977, test failed, incorrect number of cards in hand.
Seed: 1823254365, test failed, incorrect number of cards in hand.
Seed: 1221626040, test failed, incorrect number of cards in hand.
Seed: 1922416899, test failed, incorrect number of cards in hand.
Seed: 1824623529, test failed, incorrect number of cards in hand.
Seed: 749397146, test failed, incorrect number of cards in hand.
Seed: 544687593, test failed, incorrect number of cards in hand.
Seed: 267165992, test failed, incorrect number of cards in hand.
Seed: 1616898341, test failed, incorrect number of cards in hand.
Seed: 1327313196, test failed, incorrect number of cards in hand.
Seed: 312890438, test failed, incorrect number of cards in hand.
Seed: 1612197378, test failed, incorrect number of cards in hand.
Seed: 603267607, test failed, incorrect number of cards in hand.
Seed: 1595259410, test failed, incorrect number of cards in hand.
Seed: 2086660461, test failed, incorrect number of cards in hand.
Seed: 247622817, test failed, incorrect number of cards in hand.
Seed: 893190857, test failed, incorrect number of cards in hand.
Seed: 641077440, test failed, incorrect number of cards in hand.
Seed: 1533667106, test failed, incorrect number of cards in hand.
Seed: 1840631894, test failed, incorrect number of cards in hand.
Seed: 69861526, test failed, incorrect number of cards in hand.
Seed: 97037768, test failed, incorrect number of cards in hand.
Seed: 276878072, test failed, incorrect number of cards in hand.
Seed: 1708414803, test failed, incorrect number of cards in hand.
Seed: 548432891, test failed, incorrect number of cards in hand.
Seed: 1742021484, test failed, incorrect number of cards in hand.
Seed: 1957171730, test failed, incorrect number of cards in hand.
Seed: 626141204, test failed, incorrect number of cards in hand.
Seed: 621502413, test failed, incorrect number of cards in hand.
Seed: 266358922, test failed, incorrect number of cards in hand.
Seed: 874470098, test failed, incorrect number of cards in hand.
Seed: 525919188, test failed, incorrect number of cards in hand.
Seed: 776748687, test failed, incorrect number of cards in hand.
Seed: 274289160, test failed, incorrect number of cards in hand.
Seed: 1607128498, test failed, incorrect number of cards in hand.
Seed: 1858204102, test failed, incorrect number of cards in hand.
Seed: 642524067, test failed, incorrect number of cards in hand.
Seed: 1415714944, test failed, incorrect number of cards in hand.
Seed: 1500740091, test failed, incorrect number of cards in hand.
Seed: 1691886795, test failed, incorrect number of cards in hand.
Seed: 1201793014, test failed, incorrect number of cards in hand.
Seed: 910043173, test failed, incorrect number of cards in hand.
Seed: 522723728, test failed, incorrect number of cards in hand.
Seed: 2020913862, test failed, incorrect number of cards in hand.
Seed: 1991178327, test failed, incorrect number of cards in hand.
Seed: 1117670871, test failed, incorrect number of cards in hand.
Seed: 883887504, test failed, incorrect number of cards in hand.
Seed: 2080560285, test failed, incorrect number of cards in hand.
Seed: 632897371, test failed, incorrect number of cards in hand.
Seed: 1871075527, test failed, incorrect number of cards in hand.
Seed: 1084504007, test failed, incorrect number of cards in hand.
Seed: 32125535, test failed, incorrect number of cards in hand.
Seed: 373767346, test failed, incorrect number of cards in hand.
Seed: 1603872885, test failed, incorrect number of cards in hand.
Seed: 932404334, test failed, incorrect number of cards in hand.
Seed: 1122865855, test failed, incorrect number of cards in hand.
Seed: 435747191, test failed, incorrect number of cards in hand.
Seed: 702098073, test failed, incorrect number of cards in hand.
Seed: 1655803173, test failed, incorrect number of cards in hand.
Seed: 1103692099, test failed, incorrect number of cards in hand.
Seed: 827788504, test failed, incorrect number of cards in hand.
Seed: 725794901, test failed, incorrect number of cards in hand.
Seed: 1221252477, test failed, incorrect number of cards in hand.
Seed: 1424715991, test failed, incorrect number of cards in hand.
Seed: 60782181, test failed, incorrect number of cards in hand.
Seed: 772609118, test failed, incorrect number of cards in hand.
Seed: 123321212, test failed, incorrect number of cards in hand.
Seed: 1681314654, test failed, incorrect number of cards in hand.
Seed: 431376997, test passed.
Seed: 203722396, test failed, incorrect number of cards in hand.
Seed: 1082022798, test failed, incorrect number of cards in hand.
Seed: 190368574, test failed, incorrect number of cards in hand.
Seed: 1898598769, test failed, incorrect number of cards in hand.
Seed: 1891880828, test failed, incorrect number of cards in hand.
Seed: 394990975, test failed, incorrect number of cards in hand.
Seed: 1758009856, test failed, incorrect number of cards in hand.
Seed: 365181920, test failed, incorrect number of cards in hand.
Seed: 1430326889, test failed, incorrect number of cards in hand.
Seed: 979152574, test failed, incorrect number of cards in hand.
Seed: 612392888, test failed, incorrect number of cards in hand.
Seed: 2115784941, test failed, incorrect number of cards in hand.
Seed: 1168966533, test failed, incorrect number of cards in hand.
Seed: 845935012, test failed, incorrect number of cards in hand.
Seed: 2011679588, test failed, incorrect number of cards in hand.
Seed: 1254960633, test failed, incorrect number of cards in hand.
Seed: 1870977999, test failed, incorrect number of cards in hand.
Seed: 1162143058, test failed, incorrect number of cards in hand.
Seed: 524455815, test failed, incorrect number of cards in hand.
Seed: 1416123367, test failed, incorrect number of cards in hand.
Seed: 1115509656, test failed, incorrect number of cards in hand.
Seed: 307625427, test failed, incorrect number of cards in hand.
Seed: 279799237, test failed, incorrect number of cards in hand.
Seed: 200604386, test failed, incorrect number of cards in hand.
Seed: 1367000691, test failed, incorrect number of cards in hand.
Seed: 281667589, test failed, incorrect number of cards in hand.
Seed: 1479390316, test failed, incorrect number of cards in hand.
Seed: 635238620, test failed, incorrect number of cards in hand.
Seed: 104483236, test failed, incorrect number of cards in hand.
Seed: 1336746840, test failed, incorrect number of cards in hand.
Seed: 1559603187, test failed, incorrect number of cards in hand.
Seed: 1967793866, test failed, incorrect number of cards in hand.
Seed: 2051384550, test failed, incorrect number of cards in hand.
Seed: 1956399345, test failed, incorrect number of cards in hand.
Seed: 1587103162, test failed, incorrect number of cards in hand.
Seed: 1758830415, test failed, incorrect number of cards in hand.
Seed: 2059770015, test failed, incorrect number of cards in hand.
Seed: 296737737, test failed, incorrect number of cards in hand.
Seed: 1071091451, test failed, incorrect number of cards in hand.
Seed: 1938968155, test failed, incorrect number of cards in hand.
Seed: 1191501438, test failed, incorrect number of cards in hand.
Seed: 496353501, test failed, incorrect number of cards in hand.
Seed: 1846784068, test failed, incorrect number of cards in hand.
Seed: 623505307, test failed, incorrect number of cards in hand.
Seed: 1039395777, test failed, incorrect number of cards in hand.
Seed: 1394188147, test failed, incorrect number of cards in hand.
Seed: 2138986364, test failed, incorrect number of cards in hand.
Seed: 1371897058, test failed, incorrect number of cards in hand.
Seed: 921315139, test failed, incorrect number of cards in hand.
Seed: 532805306, test failed, incorrect number of cards in hand.
Seed: 1564378421, test failed, incorrect number of cards in hand.
Seed: 1468935006, test failed, incorrect number of cards in hand.
Seed: 923432708, test failed, incorrect number of cards in hand.
Seed: 927798942, test failed, incorrect number of cards in hand.
Seed: 1860261982, test failed, incorrect number of cards in hand.
Seed: 917400711, test failed, incorrect number of cards in hand.
Seed: 1760959545, test failed, incorrect number of cards in hand.
Seed: 826077827, test failed, incorrect number of cards in hand.
Seed: 898149817, test failed, incorrect number of cards in hand.
Seed: 564010759, test failed, incorrect number of cards in hand.
Seed: 655089495, test failed, incorrect number of cards in hand.
Seed: 1298362927, test failed, incorrect number of cards in hand.
Seed: 1140552055, test failed, incorrect number of cards in hand.
Seed: 527859867, test failed, incorrect number of cards in hand.
Seed: 785869035, test failed, incorrect number of cards in hand.
Seed: 1142298880, test failed, incorrect number of cards in hand.
Seed: 2087368634, test failed, incorrect number of cards in hand.
Seed: 1994632890, test failed, incorrect number of cards in hand.
Seed: 2090524417, test failed, incorrect number of cards in hand.
Seed: 1360026218, test failed, incorrect number of cards in hand.
Seed: 944444577, test failed, incorrect number of cards in hand.
Seed: 84124732, test failed, incorrect number of cards in hand.
Seed: 1948106795, test failed, incorrect number of cards in hand.
Seed: 1068463053, test failed, incorrect number of cards in hand.
Seed: 468306057, test failed, incorrect number of cards in hand.
Seed: 1110252601, test failed, incorrect number of cards in hand.
Seed: 1233478255, test failed, incorrect number of cards in hand.
Seed: 1044254588, test failed, incorrect number of cards in hand.
Seed: 847561312, test failed, incorrect number of cards in hand.
Seed: 1047831154, test failed, incorrect number of cards in hand.
Seed: 598955881, test failed, incorrect number of cards in hand.
Seed: 1137368911, test failed, incorrect number of cards in hand.
Seed: 2136746844, test failed, incorrect number of cards in hand.
Seed: 283430879, test failed, incorrect number of cards in hand.
Seed: 821074185, test failed, incorrect number of cards in hand.
Seed: 404171434, test failed, incorrect number of cards in hand.
Seed: 1692548322, test failed, incorrect number of cards in hand.
Seed: 413436702, test failed, incorrect number of cards in hand.
Seed: 449092861, test failed, incorrect number of cards in hand.
Seed: 405878330, test passed.
Seed: 1948107537, test failed, incorrect number of cards in hand.
Seed: 1034423504, test failed, incorrect number of cards in hand.
Seed: 996268290, test failed, incorrect number of cards in hand.
Seed: 1891309210, test failed, incorrect number of cards in hand.
Seed: 1195325864, test failed, incorrect number of cards in hand.
Seed: 1808385231, test failed, incorrect number of cards in hand.
Seed: 648347451, test failed, incorrect number of cards in hand.
Seed: 625008693, test failed, incorrect number of cards in hand.
Seed: 1761377021, test failed, incorrect number of cards in hand.
Seed: 444364765, test failed, incorrect number of cards in hand.
Seed: 1849342732, test failed, incorrect number of cards in hand.
Seed: 1752944618, test failed, incorrect number of cards in hand.
Seed: 417476176, test failed, incorrect number of cards in hand.
Seed: 1856398597, test failed, incorrect number of cards in hand.
Seed: 100852459, test passed.
Seed: 1962682856, test failed, incorrect number of cards in hand.
Seed: 1568014801, test failed, incorrect number of cards in hand.
Seed: 1646296439, test failed, incorrect number of cards in hand.
Seed: 738130403, test failed, incorrect number of cards in hand.
Seed: 161639965, test failed, incorrect number of cards in hand.
Seed: 903398526, test failed, incorrect number of cards in hand.
Seed: 248361741, test failed, incorrect number of cards in hand.
Seed: 6712992, test failed, incorrect number of cards in hand.
Seed: 1034662623, test failed, incorrect number of cards in hand.
Seed: 498130051, test failed, incorrect number of cards in hand.
Seed: 1773434170, test failed, incorrect number of cards in hand.
Seed: 1271615908, test failed, incorrect number of cards in hand.
Seed: 1552195527, test failed, incorrect number of cards in hand.
Seed: 598490007, test failed, incorrect number of cards in hand.
Seed: 2046107709, test failed, incorrect number of cards in hand.
Seed: 1233793478, test failed, incorrect number of cards in hand.
Seed: 1924707969, test failed, incorrect number of cards in hand.
Seed: 1241694137, test failed, incorrect number of cards in hand.
Seed: 1704646976, test failed, incorrect number of cards in hand.
Seed: 2098801599, test failed, incorrect number of cards in hand.
Seed: 1452679785, test failed, incorrect number of cards in hand.
Seed: 1360322683, test failed, incorrect number of cards in hand.
Seed: 1607845528, test failed, incorrect number of cards in hand.
Seed: 631835855, test failed, incorrect number of cards in hand.
Seed: 699126018, test failed, incorrect number of cards in hand.
Seed: 1194053321, test failed, incorrect number of cards in hand.
Seed: 1014821145, test failed, incorrect number of cards in hand.
Seed: 1464212652, test failed, incorrect number of cards in hand.
Seed: 1026070892, test failed, incorrect number of cards in hand.
Seed: 2060199725, test failed, incorrect number of cards in hand.
Seed: 415167604, test failed, incorrect number of cards in hand.
Seed: 1310097119, test failed, incorrect number of cards in hand.
Seed: 1873058376, test failed, incorrect number of cards in hand.
Seed: 629213516, test passed.
Seed: 301922760, test failed, incorrect number of cards in hand.
Seed: 370209011, test failed, incorrect number of cards in hand.
Seed: 1494467888, test failed, incorrect number of cards in hand.
Seed: 92854650, test failed, incorrect number of cards in hand.
Seed: 1083989193, test failed, incorrect number of cards in hand.
